|-----------------|-------------|-------------|-------------|
|              LINEAR SVM       | Prior = 0.5 | Prior = 0.1 | Prior = 0.9 |
|-------------------------------|-------------|-------------|-------------|
| **RAW**                       |             |             |             |
| Linear SVM(C = 1, πT = 0.5)   | 0.117       | 0.286       | 0.353       |
| Linear SVM(C = 1, πT = 0.1)   | 0.128       | 0.308       | 0.379       |
| Linear SVM(C = 1, πT = 0.9)   | 0.112       | 0.318       | 0.334       |
|-------------------------------|-------------|-------------|-------------|
| **PCA m = 11**                |             |             |             |
| Linear SVM(C = 1, πT = 0.5)   | 0.120       | 0.304       | 0.350       |
| Linear SVM(C = 1, πT = 0.1)   | 0.132       | 0.310       | 0.382       |
| Linear SVM(C = 1, πT = 0.9)   | 0.122       | 0.333       | 0.354       |
|-------------------------------|-------------|-------------|-------------|


|-------------------------------------------|-------------|-------------|-------------|
|          POLY SVM                         | Prior = 0.5 | Prior = 0.1 | Prior = 0.9 |
|-------------------------------------------|-------------|-------------|-------------|
| **RAW**                                   |             |             |             |
| Poly SVM(C = 0.1, c = 1, d = 2, πT = 0.5) | 0.128       | 0.317       | 0.348       |
| Poly SVM(C = 0.1, c = 1, d = 2, πT = 0.1) | 0.143       | 0.365       | 0.444       |
| Poly SVM(C = 0.1, c = 1, d = 2, πT = 0.9) | 0.139       | 0.404       | 0.317       |
|-------------------------------------------|-------------|-------------|-------------|
| **PCA m = 11**                            |             |             |             |
| Poly SVM(C = 0.1, c = 1, d = 2, πT = 0.5) | 0.127       | 0.338       | 0.340       |
| Poly SVM(C = 0.1, c = 1, d = 2, πT = 0.1) | 0.157       | 0.385       | 0.446       |
| Poly SVM(C = 0.1, c = 1, d = 2, πT = 0.9) | 0.133       | 0.407       | 0.330       |
|-------------------------------------------|-------------|-------------|-------------|


|------------------------------------|-------------|-------------|-------------|
|    RBF  SVM                              | Prior = 0.5 | Prior = 0.1 | Prior = 0.9 |
|------------------------------------|-------------|-------------|-------------|
| **RAW**                            |             |             |             |
| RBF SVM(C = 10, γ = 0.1, πT = 0.5) | 0.095       | 0.275       | 0.284       |
| RBF SVM(C = 10, γ = 0.1, πT = 0.1) | 0.115       | 0.279       | 0.367       |
| RBF SVM(C = 10, γ = 0.1, πT = 0.9) | 0.110       | 0.338       | 0.262       |
|------------------------------------|-------------|-------------|-------------|
| **PCA m = 11**                     |             |             |             |
| RBF SVM(C = 10, γ = 0.1, πT = 0.5) | 0.095       | 0.275       | 0.284       |
| RBF SVM(C = 10, γ = 0.1, πT = 0.1) | 0.115       | 0.279       | 0.367       |
| RBF SVM(C = 10, γ = 0.1, πT = 0.9) | 0.110       | 0.338       | 0.262       |
|------------------------------------|-------------|-------------|-------------|


|--------------------------|-------------|-------------|-------------|
|                          | Prior = 0.5 | Prior = 0.1 | Prior = 0.9 |
|--------------------------|-------------|-------------|-------------|
| **RAW**                  |             |             |             |
| GMM Full (4 components)  | 0.071       | 0.201       | 0.204       |
| GMM Diag (16 components) | 0.197       | 0.501       | 0.474       |
| GMM Tied (4 components)  | 0.068       | 0.237       | 0.222       |
|--------------------------|-------------|-------------|-------------|
| **PCA m = 11**           |             |             |             |
| GMM Full (4 components)  | 0.069       | 0.207       | 0.194       |
| GMM Diag (16 components) | 0.137       | 0.389       | 0.346       |
| GMM Tied (4 components)  | 0.070       | 0.202       | 0.229       |
|--------------------------|-------------|-------------|-------------|


